Department Name,Pending XML,Online
Agriculture and Agri-Food Canada,3198,
Atlantic Canada Opportunities Agency,2,
Canada Border Services Agency,2,
Canada Revenue Agency,3,
Canadian International Development Agency,44,
Canadian Space Agency,1,
Citizenship and Immigration Canada,74,
Department of Finance Canada,259,
Environment Canada,247,
Fisheries and Oceans Canada,26,
Foreign Affairs and International Trade Canada,5,
Health Canada,56,
Human Resources and Skills Development Canada,36,
Industry Canada,26,
Library and Archives Canada,8,
Library of Parliament,2,
National Defence,2,
National Research Council Canada,6,
Natural Resources Canada,46,
Public Safety Canada,3,
Public Works and Government Services Canada,2,
Statistics Canada,8757,
The Federal Bridge Corporation Limited,1,
Transport Canada,3,
Treasury Board of Canada Secretariat,63,
